add2list,selqty,name,oldprice,price,add2cart,newprodid,outofstack,tah,imgurl,desc
/addproducttocart/84813/3/0/(name),0,Emmi Yoghurt Plain 100G,,$1.10,/addproducttocart/84813/1/0,84813,,0,https://a4ucontent.blob.core.windows.net/images/0048252_0.png,"Emmi <br/>
Plain Yoghurt <br/>
<span style= ""color: gray""> 100G </span>"
/addproducttocart/123527/3/0/(name),0,Emmi Swiss Yog 2%FAT Raspberry 150G,$2.65,$2.15,/addproducttocart/123527/1/0,123527,,0,https://a4ucontent.blob.core.windows.net/images/0048169_0.png,"Emmi<br/>
Swiss Yoghurt 2% Fat Raspberry <br/>
<span style =""color:grey;""> 150G </span>"
/addproducttocart/117639/3/0/(name),0,Emmi Greek Yoghurt Natural NF 0% 150G,$2.65,$2.15,/addproducttocart/117639/1/0,117639,,0,https://a4ucontent.blob.core.windows.net/images/0052633_0.png,"Emmi <br/>
Greek Yoghurt Natural <br/>
No Fat <br/>
<span style =""color:grey""> 150g </span>"
/addproducttocart/85879/3/0/(name),0,Alive Yoghurt Aloe Vera&Ndcc 2X135G,$2.50,$1.90,/addproducttocart/85879/1/0,85879,,0,https://a4ucontent.blob.core.windows.net/images/0048132_0.png,"Alive Yoghurt <br/>
Aloe Vera & Nata de Coco <br/>
<span style= ""color: gray"">2X135G</span>"
/addproducttocart/85876/3/0/(name),0,Alive Yoghurt Strawberry 2X135G,$2.50,$1.90,/addproducttocart/85876/1/0,85876,,0,https://a4ucontent.blob.core.windows.net/images/0048130_0.png,"Alive Yoghurt <br/>
Strawberry <br/>
<span style= ""color: gray"">2X135G</span>"
/addproducttocart/85880/3/0/(name),0,Alive Yoghurt Mango&Ndcc 2X135G,$2.50,$1.90,/addproducttocart/85880/1/0,85880,,0,https://a4ucontent.blob.core.windows.net/images/0018912_0.png,"Alive Yoghurt <br/>
Mango & Nata de Coco <br/>
<span style= ""color: gray"">2X135G</span>"
/addproducttocart/85877/3/0/(name),0,Alive Yoghurt Apple&Pomelo 2X135G,$2.50,$1.90,/addproducttocart/85877/1/0,85877,,0,https://a4ucontent.blob.core.windows.net/images/0048131_0.png,"Alive Yoghurt <br/>
Apple & Pomelo <br/>
<small><span style= ""color: gray"">2x135g</span></small>"
/addproducttocart/85930/3/0/(name),0,Alive Yoghurt M/Berry&A/V 2X135G,$2.50,$1.90,/addproducttocart/85930/1/0,85930,,0,https://a4ucontent.blob.core.windows.net/images/0048135_0.png,"Alive Yoghurt <br/>
Mixed Berry & Aloe Vera <br/>
<small><span style= ""color: gray"">2x135g</span></small>"
/addproducttocart/84522/3/0/(name),0,Marigold LF Yoghurt Natural 140G,,$1.40,/addproducttocart/84522/1/0,84522,,0,https://a4ucontent.blob.core.windows.net/images/0048245_0.png,"Marigold<br/>
Low Fat Yoghurt<br/>
<span style=""color:grey;"">140 g</span>"
/addproducttocart/85848/3/0/(name),0,Marigold LF Yoghurt Peach 140G,,$1.40,/addproducttocart/85848/1/0,85848,,0,https://a4ucontent.blob.core.windows.net/images/0008555_0.png,"Marigold <br/>
Low Fat Yoghurt Peach <br/>
<span style= ""color: gray""140G</span>"
