description,title,url,price,retailer_sku_code,instock,current_price,promo_data
"Fancy Feast Inspirations<br/>
(With Chicken,Pasta Pearls & Spinach)<br/>
<span style=""color: grey;"">70G</span>",Ff Insp Chicken Pasta Pearls 70G,https://a4ucontent.blob.core.windows.net/images/0051901_0.png,1.35,125526,,1.35,4 for $4.95
Arcenciel Carwash Sponge 2194,Arcenciel Carwash Sponge 2194,https://a4ucontent.blob.core.windows.net/images/0047664_0.png,2.0,93993,,2.0,
"Berita Harian<br/>
<br/>
<i><small>Note: Day of delivery edition</small></i>",Berita Harian Newspaper(Mon-Thur),https://a4ucontent.blob.core.windows.net/images/0047563_0.png,0.6,32156,,0.6,
"Aluminium Square Cake Pan 4353/H05 <br/>
<span style =""color:grey""> 3S </span>",Alu. Square Cake Pan 3S 4353/H05,https://a4ucontent.blob.core.windows.net/images/0052411_0.png,2.3,109167,,2.3,
"Energizer <br/>
Lithium CR2025BP2 <br/>
<span style =""color:grey""> 3V </span>",Energizer Lithium CR2025BP2 3V,https://a4ucontent.blob.core.windows.net/images/0052945_0.png,4.6,125652,,4.6,
"<span style=""font-family: SimSun, SimHei, Serif;""> 明利香水晶油</span>",Fo Deng Y/Chai Huang Bai Hong D2,https://a4ucontent.blob.core.windows.net/images/0049341_0.png,7.7,112785,,7.7,
"Clairol <br/>
Break's Over Hair Conditioner <br/>
<span style=""color:gray""> 300ml",E-Clairol BREAK'S Over H/Cond 300ML,https://a4ucontent.blob.core.windows.net/images/0047539_0.png,4.7,124917,,4.7,
"Produce of China <br/> 
Honey Pomelo <br/> 
中国蜜柚",CHN Honey Pomelo 1s,https://a4ucontent.blob.core.windows.net/images/0040424_0.png,1.99,11944,,1.99,
"Produce of China <br/> 
Honey Pomelo <br/> 
中国蜜柚",CHN Honey Pomelo 1s,https://a4ucontent.blob.core.windows.net/images/0040424_0.png,1.99,11944,,1.99,
"Produce of Korea <br/>
Strawberry <br/>
韩国草莓 <br/>
<small><span style= ""color: gray""> 250G </span></small>",KOR Strawberry 250G,https://a4ucontent.blob.core.windows.net/images/0004496_0.png,3.99,12565,,3.99,
"Produce of Australia <br/> 
White Peach 2S",AUS White Peach 2S,https://a4ucontent.blob.core.windows.net/images/0052586_0.png,3.69,12543,,3.69,
"Produce of Iatly <br/> 
Zespri Green Kiwi 3S <br/> 
意大利青奇异果",ITA Zespri Green Kiwi 3S,https://a4ucontent.blob.core.windows.net/images/0052443_0.png,3.69,128284,,3.69,
"Produce of Malaysia <br/>
Honeydew melon <br/>
马来西亚蜜瓜 <br/>
<small><span style= ""color: gray""> 2KG </span></small><br/><br/>

<small><b
style=""color:green"">HONEYDEW MELONS</b> have light green juicy flesh and serve as a refreshing treat, offering a low-calorie and healthy choice.
<small>",MYS Honey Dew 1s 2KG,https://a4ucontent.blob.core.windows.net/images/0004506_0.png,2.69,12644,,2.69,
,MYS Honey Pineapple 1s 600G,https://a4ucontent.blob.core.windows.net/images/0015160_0.png,0.8,12688,,0.8,
"Produce of Philippines <br/>
Dole Bananas 1.0-1.2KG <br/><br/>

<small><b
style=""color:FFF380"">BANANAS </b> are provide an excellent source of vitamin B6 & C and a good source of potassium and fibre ; promoting heart health<small>",PHI Dole Banana (Bunch) (0.9-1.1KG),https://a4ucontent.blob.core.windows.net/images/0047817_0.png,2.65,118056,,2.65,
Produce of Egypt,EGYPT Navel Orange,https://a4ucontent.blob.core.windows.net/images/0011753_0.png,0.45,12348,,0.45,5 for $1.99
"Produce of China <br/>
Fuji Apple <br/>
中国富士苹果<br/>

<small><b
style=""color:red"">FUJI APPLES </b> are often lined with red vertical stripes on the skin. The flesh is dense, juicy, crisp and display mild sweet flavour.<small>",CHN Fuji Apple,https://a4ucontent.blob.core.windows.net/images/0022304_0.png,0.75,119624,,0.75,5 for $3.29
"Produce of China <br/> 
Baby Chye Sim / Cai Xin  <br/> 
中国菜心苗<br/> 
<small><span style= ""color: gray""> 200G </span></small>",CHN Baby Cai Xin 200G,https://a4ucontent.blob.core.windows.net/images/0009193_0.png,1.3,33018,,1.3,
"Produce of Malaysia (Cameron Highland) <br/> 
Giant Chives <br/> 
金马伦青龙菜 <br/> 
<small><span style= ""color: gray""> 160G </span></small>",MYS CAM Giant Chives 150G,https://a4ucontent.blob.core.windows.net/images/0052386_0.png,2.85,32698,,2.85,
"Suriayani <br/>
Lontong",Suriayani Lontong 900G,https://a4ucontent.blob.core.windows.net/images/0049055_0.png,2.0,32830,,2.0,
"Produce of Malaysia <br/>
Oyster Mushroom <br/>
马来西亚鲍鱼菇 
<small><span style= ""color: gray""> 150G </span></small>",MYS VSS Oyster Mushroom 150G,https://a4ucontent.blob.core.windows.net/images/0004790_0.png,1.2,33741,,1.2,
"Produce of Malaysia <br/>
Pandan Leaf <br/>
马来西亚班兰叶 <br/>
<small><span style= ""color: gray""> 150G </span></small>",MYS Pandan Leaf 150G,https://a4ucontent.blob.core.windows.net/images/0013627_0.png,0.5,118096,,0.5,
"Produce of USA <br/> 
Russet Potato <br/>
美国马铃薯 <br/><br/>

<small><span style= ""color: black""> RUSSET POTATO has a fine, sandpaper-textured. It offers a starchy flesh that becomes fluffy and light when cooked that makes it an ideal for frying and baking. Store in Cool Dark Storage. </span></small>",USA Russet Potato,https://a4ucontent.blob.core.windows.net/images/0004736_0.png,0.45,33269,,0.45,3 for $1.00
